id,location,construction_year,plot,location_abb,location_year,longitude,latitude,longitude_center,latitude_center,river_distance,biotope_area,biotope_distance
38_m,Schwarzach-Sulzbach,2016,38,SCH,SCH-2016,12.84524166454332,48.84371794885917,12.84349412615694,48.8457337962031,410,NA,916
39_m,Natternberg,2013,39,NAT,NAT-2013,12.921338105312287,48.83364748973141,12.928359911149723,48.83090440949099,480,12136,212
40_m,Natternberg,2013,40,NAT,NAT-2013,12.921199436913708,48.83351371237111,12.928359911149723,48.83090440949099,498,12136,195
41_m,Natternberg,2013,41,NAT,NAT-2013,12.93548660324708,48.82830886114297,12.928359911149723,48.83090440949099,440,3352,253
42_m,Natternberg,2013,42,NAT,NAT-2013,12.935415499125817,48.82814757471847,12.928359911149723,48.83090440949099,458,3352,234
43_m,Deggendorf_West,2007,43,DEG,DEG-2007,12.928336043819732,48.837880693502065,12.931233886153311,48.836946787148406,187,7440,450
44_m,Deggendorf_West,2007,44,DEG,DEG-2007,12.928432883955185,48.83796084484223,12.931233886153311,48.836946787148406,198,9750,439
45_m,Deggendorf_West,2007,45,DEG,DEG-2007,12.934048254764255,48.83591913481669,12.931233886153311,48.836946787148406,214,13631,376
46_m,Deggendorf_West,2007,46,DEG,DEG-2007,12.934118362074075,48.836026475432625,12.931233886153311,48.836946787148406,227,15009,363
47_m,Fischerdorf,2016,47,FIS,FIS-2016,12.944551407040963,48.796842206505396,12.950872323526493,48.80337026698668,1154,NA,572
48_m,Fischerdorf,2016,48,FIS,FIS-2016,12.944402380083273,48.79687939848054,12.950872323526493,48.80337026698668,1164,NA,579
49_m,Fischerdorf,2016,49,FIS,FIS-2016,12.957362614902214,48.809856461953544,12.950872323526493,48.80337026698668,933,11564,277
50_m,Fischerdorf,2016,50,FIS,FIS-2016,12.957172892079518,48.80990300100724,12.950872323526493,48.80337026698668,946,8670,291
51_m,Stoegermuehlbach,2002,51,STO,STO-2002,12.965380203542438,48.77716476297942,12.969722600986806,48.778079650635725,1318,32711,9
52_m,Stoegermuehlbach,2002,52,STO,STO-2002,12.965395360306639,48.77724556863553,12.969722600986806,48.778079650635725,1314,32711,0
53_m,Stoegermuehlbach,2002,53,STO,STO-2002,12.961737468299212,48.77664669590481,12.969722600986806,48.778079650635725,1134,25383,9
54_m,Stoegermuehlbach,2002,54,STO,STO-2002,12.961684599960059,48.77672807007906,12.969722600986806,48.778079650635725,1125,25298,1
55_m,Hofkirchen,2012,55,HOF,HOF-2012,13.116198630111814,48.67502114579683,13.115585059814347,48.678442079852644,182,NA,842
56_m,Hofkirchen,2012,56,HOF,HOF-2012,13.116173068611658,48.675093335497074,13.115585059814347,48.678442079852644,181,NA,835
57_o,Saubach,2006,57,SAU,SAU-2006,12.950230494345783,48.82508579270807,12.950202154760866,48.825027575580236,210,NA,1158
58_m,Saubach,2006,58,SAU,SAU-2006,12.950173815175951,48.8249693584524,12.950202154760866,48.825027575580236,223,NA,1155
59_m,Hofkirchen,2012,59,HOF,HOF-2012,13.114936649432046,48.68182288390656,13.115585059814347,48.678442079852644,127,1441,446
60_m,Hofkirchen,2012,60,HOF,HOF-2012,13.115031891101868,48.6818309542101,13.115585059814347,48.678442079852644,134,1440,453
61_o,Muehlham-Ruckasing,2007,61,MUE,MUE-2007,13.020192670512074,48.7164239433827,13.020164404340083,48.71637023802181,70,1059,461
62_m,Muehlham-Ruckasing,2007,62,MUE,MUE-2007,13.02013613816809,48.71631653266091,13.020164404340083,48.71637023802181,81,811,473
63_m,Parkstetten-Reibersdorf,2008,63,PAR,PAR-2008,12.590113664041995,48.900061495183536,12.599519797194445,48.90247647168155,110,6254,132
64_m,Parkstetten-Reibersdorf,2008,64,PAR,PAR-2008,12.589964382598035,48.900125205403434,12.599519797194445,48.90247647168155,123,6170,132
65_m,Stoegermuehlbach,2002,65,STO,STO-2002,12.982109011141786,48.780305595465215,12.969722600986806,48.778079650635725,1726,20294,8
66_m,Stoegermuehlbach,2002,66,STO,STO-2002,12.9820289626707,48.780387210750334,12.969722600986806,48.778079650635725,1723,17937,1
67_o,Pfelling,2008,67,PFE,PFE-2008,12.750854516285486,48.877418656692726,12.754749690396189,48.878813953399245,120,NA,1170
68_m,Pfelling,2008,68,PFE,PFE-2008,12.750964514123426,48.87748088586094,12.754749690396189,48.878813953399245,131,NA,1170
69_m,Irlbach,2011,69,IRL,IRL-2011,12.747842765766404,48.849166380162465,12.74208364985569,48.846385949121704,1226,NA,1705
70_m,Irlbach,2011,70,IRL,IRL-2011,12.747800955080923,48.849103705177704,12.74208364985569,48.846385949121704,1228,NA,1709
