id,location,constructionYear,sandPerc,phosphorus,phosphorusClass,longitude,latitude,longitude_center,latitude_center
41_m,Natternberg,2013,23.2,9,B,12.93548660324708,48.82830886114297,12.928359911149723,48.83090440949099
42_m,Natternberg,2013,16.8,4,A,12.935415499125817,48.82814757471847,12.928359911149723,48.83090440949099
43_m,Deggendorf_West,2007,19.1,3,A,12.928336043819732,48.837880693502065,12.931233886153311,48.836946787148406
44_m,Deggendorf_West,2007,41.1,1,A,12.928432883955185,48.83796084484223,12.931233886153311,48.836946787148406
45_m,Deggendorf_West,2007,27,5,B,12.934048254764255,48.83591913481669,12.931233886153311,48.836946787148406
46_m,Deggendorf_West,2007,43.2,3,A,12.934118362074075,48.836026475432625,12.931233886153311,48.836946787148406
47_m,Fischerdorf,2016,22.4,19,C,12.944551407040963,48.796842206505396,12.950872323526493,48.80337026698668
48_m,Fischerdorf,2016,11.6,2,A,12.944402380083273,48.79687939848054,12.950872323526493,48.80337026698668
49_m,Fischerdorf,2016,11.1,2,A,12.957362614902214,48.809856461953544,12.950872323526493,48.80337026698668
50_m,Fischerdorf,2016,11,6,B,12.957172892079518,48.80990300100724,12.950872323526493,48.80337026698668
51_m,Stoegermuehlbach,2002,29,6,B,12.965380203542438,48.77716476297942,12.969722600986806,48.778079650635725
52_m,Stoegermuehlbach,2002,32.3,10,C,12.965395360306639,48.77724556863553,12.969722600986806,48.778079650635725
53_m,Stoegermuehlbach,2002,14.9,1,A,12.961737468299212,48.77664669590481,12.969722600986806,48.778079650635725
54_m,Stoegermuehlbach,2002,18.8,1,A,12.961684599960059,48.77672807007906,12.969722600986806,48.778079650635725
55_m,Hofkirchen,2012,43.9,54,E,13.116198630111814,48.67502114579683,13.115585059814347,48.678442079852644
56_m,Hofkirchen,2012,43,39,E,13.116173068611658,48.675093335497074,13.115585059814347,48.678442079852644
57_o,Saubach,2006,33.5,4,A,12.950230494345783,48.82508579270807,12.950202154760866,48.825027575580236
58_m,Saubach,2006,25.6,4,A,12.950173815175951,48.8249693584524,12.950202154760866,48.825027575580236
59_m,Hofkirchen,2012,34,5,B,13.114936649432046,48.68182288390656,13.115585059814347,48.678442079852644
60_m,Hofkirchen,2012,39,13,C,13.115031891101868,48.6818309542101,13.115585059814347,48.678442079852644
61_o,Muehlheim-Ruckasing,2007,28,3,A,13.020192670512074,48.7164239433827,13.020164404340083,48.71637023802181
62_m,Muehlheim-Ruckasing,2007,45.5,1,A,13.02013613816809,48.71631653266091,13.020164404340083,48.71637023802181
63_m,Parkstetten-Reibersdorf,2008,45.4,4,A,12.590113664041995,48.900061495183536,12.599519797194445,48.90247647168155
64_m,Parkstetten-Reibersdorf,2008,90.8,1,A,12.589964382598035,48.900125205403434,12.599519797194445,48.90247647168155
65_m,Stoegermuehlbach,2002,49.4,3,A,12.982109011141786,48.780305595465215,12.969722600986806,48.778079650635725
66_m,Stoegermuehlbach,2002,55.7,4,A,12.9820289626707,48.780387210750334,12.969722600986806,48.778079650635725
67_o,Pfelling,2008,37.3,5,B,12.750854516285486,48.877418656692726,12.754749690396189,48.878813953399245
68_m,Pfelling,2008,51.5,3,A,12.750964514123426,48.87748088586094,12.754749690396189,48.878813953399245
69_m,Irlbach,2011,57.2,1,A,12.747842765766404,48.849166380162465,12.748096376792336,48.84733181297071
70_m,Irlbach,2011,46.6,3,A,12.747800955080923,48.849103705177704,12.748096376792336,48.84733181297071
