id,plot,exposition,side,block,location,locationAbb,locationYear,longitude,latitude,riverkm,distanceRiver,constructionYear,botanist,conf.low,conf.high,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,B,C,D,comparison,presabu
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.1071,0.3929,0.5,1721,presence
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.3276,0.5309,0.8586,1718,abundance
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.1814,0.2435,0.4249,1819,abundance
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.4351,0.2202,0.6553,1921,abundance
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.2898,0.5519,0.8417,1719,abundance
X06_m_2017,06,north,land,3,Oebling,OEB,OEB-2012,4545833,5418139,2316,222.9,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,21,21,-0.3723,0.8359,0.5917,1.1355,-0.0252,0.6262,0.2621,0.312,0.5741,1721,abundance
X07_m_2017,07,east,water,4,Oebling,OEB,OEB-2012,4546097,5418383,2316,403.7,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,25,25,-0.6008,0.7816,0.2661,1.1355,-0.0252,0.6262,NA,NA,NA,NA,NA
X08_m_2017,08,west,land,4,Oebling,OEB,OEB-2012,4546085,5418387,2316,391.2,2012,Jakob_Huber_Simon_Reith_Jakob_Strak,29,29,-0.2581,0.6571,0.4024,1.1355,-0.0252,0.6262,NA,NA,NA,NA,NA
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.6667,0.0667,0.7333,1718,presence
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0,0.5,0.5,1819,presence
X09_m_2017,09,south,water,5,Oebling,OEB,OEB-2010,4546913,5417317,2314,1537.9,2010,Jakob_Huber_Leonardo_Teixeira,33,33,-0.4724,-0.6715,-0.2204,-0.7785,-0.4666,-0.7891,0.25,0.125,0.375,1921,presence
