id,plot,block,location,locationAbb,locationYear,latitude,longitude,riverkm,distanceRiver,MEM1_2017,MEM2_2018,MEM1_2019,MEM1_2021,MEM2_2021,surveyYear,constructionYear,plotAge,exposition,side,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,accumulatedCov,speciesRichness,botanist,conf_low,conf_high,n
X12_m_2021,12,6,Oebling,OEB,OEB-2010,5417420,4546311,2315,1016.7,NA,NA,NA,-0.9156620209873562,0.11330644315008612,2021,2010,11,south,land,0.2399,-1.0336,0.6747,-0.7785,-0.4666,-0.7891,52.1,11,Markus Bauer,48,48,4
X13_m_2017,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,-0.917655185758053,NA,NA,NA,NA,2017,2006,11,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,64.9,27,Jakob_Huber_Leonardo_Teixeira,49,49,4
X13_m_2018,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,NA,0.11915121222665259,NA,NA,NA,2018,2006,12,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,63.4,24,Jakob_Huber,50,50,4
X13_m_2019,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,NA,NA,-0.917655185758053,NA,NA,2019,2006,13,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,122.7,30,Jakob_Huber_Linda_Weggler,51,51,4
X13_m_2021,13,7,Oebling,OEB,OEB-2006,5418241,4547375,2314,624.3,NA,NA,NA,-0.917655185758053,0.11915121222665259,2021,2006,15,north,water,0.7402,-2.2834,-2.0008,0.2419,1.9644,-0.0745,72.3,27,Markus Bauer,52,52,4
X14_m_2017,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,-0.9176661496063373,NA,NA,NA,NA,2017,2006,11,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,38.5,22,Jakob_Huber_Leonardo_Teixeira,53,53,4
X14_m_2018,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,NA,0.11917629482636143,NA,NA,NA,2018,2006,12,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,27.6,17,Jakob_Huber,54,54,4
X14_m_2019,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,NA,NA,-0.9176661496063373,NA,NA,2019,2006,13,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,81.2,21,Jakob_Huber_Linda_Weggler,55,55,4
X14_m_2021,14,7,Oebling,OEB,OEB-2006,5418234,4547375,2314,631.3,NA,NA,NA,-0.9176661496063373,0.11917629482636143,2021,2006,15,south,land,0.698,-1.4548,-0.14,0.2419,1.9644,-0.0745,49.1,22,Markus Bauer,56,56,4
X21_m_2017,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,-0.8406640303605223,NA,NA,NA,NA,2017,2008,9,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,129.3,15,Jakob_Huber_Simon_Reith_Jakob_Strak,81,81,4
X21_m_2018,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,NA,0.45026101521964396,NA,NA,NA,2018,2008,10,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,81.2,13,Jakob_Huber,82,82,4
X21_m_2019,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,NA,NA,-0.8406640303605223,NA,NA,2019,2008,11,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,98,23,Jakob_Huber_Linda_Weggler,83,83,4
X21_m_2021,21,11,Pfelling,PFE,PFE-2008,5415944,4555538,2305,484,NA,NA,NA,-0.8406640303605223,0.45026101521964396,2021,2008,13,south,water,-0.7112,-0.669,0.7938,-0.7514,-0.1115,0.3944,60.9,15,Markus Bauer,84,84,4
X22_m_2017,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,-0.8407026765083339,NA,NA,NA,NA,2017,2008,9,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,52.5,19,Jakob_Huber_Simon_Reith_Jakob_Strak,85,85,4
X22_m_2018,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,NA,0.45025647432807797,NA,NA,NA,2018,2008,10,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,51,15,Jakob_Huber,86,86,4
X22_m_2019,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,NA,NA,-0.8407026765083339,NA,NA,2019,2008,11,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,101.2,21,Jakob_Huber_Linda_Weggler,87,87,4
X22_m_2021,22,11,Pfelling,PFE,PFE-2008,5415946,4555531,2305,479,NA,NA,NA,-0.8407026765083339,0.45025647432807797,2021,2008,13,north,land,0.415,-0.0607,1.0979,-0.7514,-0.1115,0.3944,33.8,16,Markus Bauer,88,88,4
