id;table34_3;table34_2;table33_4;table33_3;table33_2;ruderalIndicator;leanIndicator_bk;nitrogenIndicator;ffh6210;ffh6510;targetArrhenatherion;targetGrass;targetHerb;target;rlb;rlg;speciesRichnness;graminoidCovratio;location;RW;HW;constructionYear;pH;Corg;organic;nitrogen;cnRatio;CaCO3;sand;silt;clay;phosphorous;phosphorousClass;potassium;magnesium;surveyYear;conf.low;conf.high;tarRichratio;cwmAbuN;cwmAbuF;cwmAbuT
X11_m_2018;0;0;4;0;0;3;27;3;0;15;2;7;12;NA;0;0;27;0,755;Oebling;4546311;5417431;2010;7,18;1,887;3,25;0,186;10,1;1,9;54,3;32,3;13,4;6;B;8;14;2018;32;32;NA;1,217;2,221;6,935
X11_m_2019;1;0;6;1;1;2;35;3;2;16;2;8;19;NA;0;0;35;0,487;Oebling;4546311;5417431;2010;7,18;1,887;3,25;0,186;10,1;1,9;54,3;32,3;13,4;6;B;8;14;2019;33;33;NA;5,265;4,598;5,313
X12_m_2017;0;0;3;1;0;0;16;0;0;8;2;4;10;NA;0;0;16;0,624;Oebling;4546311;5417420;2010;7,26;2,370;4,08;0,245;9,7;2,1;47,4;29,9;22,7;20;C;13;21;2017;34;34;NA;5,696;5,076;5,804
X12_m_2018;1;0;2;1;1;0;12;0;1;7;1;3;8;NA;0;0;12;0,614;Oebling;4546311;5417420;2010;7,26;2,370;4,08;0,245;9,7;2,1;47,4;29,9;22,7;20;C;13;21;2018;35;35;NA;4,642;4,422;5,539
X12_m_2019;1;0;0;1;1;0;17;0;1;8;2;3;11;NA;0;1;17;0,159;Oebling;4546311;5417420;2010;7,26;2,370;4,08;0,245;9,7;2,1;47,4;29,9;22,7;20;C;13;21;2019;36;36;NA;5,351;4,717;5,513
X13_m_2017;0;0;5;2;1;1;27;1;2;16;2;7;16;NA;1;1;27;0,428;Aiterach;4547375;5418241;2006;6,16;1,034;1,78;0,109;9,5;0,2;42,4;36,4;21,2;23;D;18;17;2017;37;37;NA;5,480;4,776;5,563
X13_m_2018;0;0;5;2;0;0;24;1;1;16;3;8;13;NA;0;0;24;0,536;Aiterach;4547375;5418241;2006;6,16;1,034;1,78;0,109;9,5;0,2;42,4;36,4;21,2;23;D;18;17;2018;38;38;NA;3,730;4,015;5,813
X13_m_2019;0;0;4;4;1;0;30;1;2;19;3;10;18;NA;0;0;30;0,331;Aiterach;4547375;5418241;2006;6,16;1,034;1,78;0,109;9,5;0,2;42,4;36,4;21,2;23;D;18;17;2019;39;39;NA;4,203;4,328;5,667
X14_m_2017;1;1;3;3;1;0;22;1;2;8;1;6;14;NA;0;1;22;0,800;Aiterach;4547375;5418234;2006;7,18;1,309;2,25;0,132;9,9;1,0;42,3;36,1;21,6;32;E;17;18;2017;40;40;NA;3,853;4,358;5,370
X14_m_2018;1;0;5;2;0;0;17;0;2;4;0;3;14;NA;1;1;17;0,627;Aiterach;4547375;5418234;2006;7,18;1,309;2,25;0,132;9,9;1,0;42,3;36,1;21,6;32;E;17;18;2018;41;41;NA;3,678;3,519;5,587
X14_m_2019;0;0;5;2;0;0;21;1;2;7;1;5;13;NA;0;0;21;0,429;Aiterach;4547375;5418234;2006;7,18;1,309;2,25;0,132;9,9;1,0;42,3;36,1;21,6;32;E;17;18;2019;42;42;NA;4,129;4,341;5,923
X15_m_2017;1;0;4;3;0;0;31;1;2;12;3;8;19;NA;2;3;31;0,680;Aiterach;4547130;5416962;2006;7,22;2,356;4,05;0,233;10,1;3,6;49,4;32,0;18,6;33;E;35;17;2017;43;43;NA;5,312;5,229;5,827
X15_m_2018;1;0;3;3;0;0;19;1;2;7;1;7;10;NA;1;2;19;0,861;Aiterach;4547130;5416962;2006;7,22;2,356;4,05;0,233;10,1;3,6;49,4;32,0;18,6;33;E;35;17;2018;44;44;NA;4,041;3,874;5,501
X16_m_2017;1;0;5;4;0;0;32;2;2;11;2;8;20;NA;4;5;32;0,612;Aiterach;4547137;5416962;2006;7,32;2,486;4,28;0,258;9,6;10,9;41,2;35,9;22,9;5;B;12;17;2017;45;45;NA;4,688;4,957;5,765
X16_m_2018;1;0;3;2;0;0;21;0;2;7;2;5;15;NA;2;3;21;0,662;Aiterach;4547137;5416962;2006;7,32;2,486;4,28;0,258;9,6;10,9;41,2;35,9;22,9;5;B;12;17;2018;46;46;NA;5,182;5,566;5,727
X17_o_2017;0;0;6;2;0;2;33;4;1;14;3;8;19;NA;0;1;33;0,681;Hermannsdorf-Ainbrach;4551938;5417213;2016;7,45;1,634;2,81;0,190;8,6;22,9;31,2;46,8;22,0;9;B;8;15;2017;47;47;NA;5,394;5,937;5,760
X17_o_2018;0;0;7;2;0;2;47;8;2;16;5;7;28;NA;0;1;47;0,472;Hermannsdorf-Ainbrach;4551938;5417213;2016;7,45;1,634;2,81;0,190;8,6;22,9;31,2;46,8;22,0;9;B;8;15;2018;48;48;NA;6,116;6,031;5,805
X17_o_2019;0;0;8;4;0;0;39;5;2;16;4;6;26;NA;0;1;39;0,378;Hermannsdorf-Ainbrach;4551938;5417213;2016;7,45;1,634;2,81;0,190;8,6;22,9;31,2;46,8;22,0;9;B;8;15;2019;49;49;NA;4,732;4,838;5,574
X18_m_2017;1;0;3;3;1;0;21;1;2;9;1;5;15;NA;0;0;21;0,595;Hermannsdorf-Ainbrach;4551933;5417206;2016;7,41;2,121;3,65;0,234;9,1;21,4;36,7;43,3;20,0;2;A;7;15;2017;50;50;NA;4,926;5,118;5,375
X18_m_2018;0;0;3;2;0;0;23;1;1;7;0;5;15;NA;1;1;23;0,564;Hermannsdorf-Ainbrach;4551933;5417206;2016;7,41;2,121;3,65;0,234;9,1;21,4;36,7;43,3;20,0;2;A;7;15;2018;51;51;NA;3,170;3,518;5,046
X18_m_2019;0;1;3;7;1;1;29;0;2;7;0;7;17;NA;1;2;29;0,295;Hermannsdorf-Ainbrach;4551933;5417206;2016;7,41;2,121;3,65;0,234;9,1;21,4;36,7;43,3;20,0;2;A;7;15;2019;52;52;NA;3,255;3,446;5,225
X19_o_2017;0;0;2;2;0;0;17;2;1;7;1;4;11;NA;0;1;17;0,532;Hermannsdorf-Ainbrach;4552292;5416931;2016;7,41;1,204;2,07;0,134;9,0;16,8;31,5;45,8;22,7;19;C;14;14;2017;53;53;NA;2,470;2,860;6,431
X19_o_2018;0;0;8;2;0;1;36;7;1;16;4;7;20;NA;0;0;36;0,348;Hermannsdorf-Ainbrach;4552292;5416931;2016;7,41;1,204;2,07;0,134;9,0;16,8;31,5;45,8;22,7;19;C;14;14;2018;54;54;NA;3,825;3,748;5,877
X19_o_2019;0;0;7;2;0;3;33;4;2;12;2;6;20;NA;0;1;33;0,452;Hermannsdorf-Ainbrach;4552292;5416931;2016;7,41;1,204;2,07;0,134;9,0;16,8;31,5;45,8;22,7;19;C;14;14;2019;55;55;NA;5,065;4,714;5,438
X20_m_2017;0;0;7;6;0;0;29;3;2;12;1;8;17;NA;0;1;29;0,728;Hermannsdorf-Ainbrach;4552285;5416920;2016;7,38;2,080;3,58;0,228;9,1;24,5;37,8;42,5;19,7;3;A;7;16;2017;56;56;NA;3,146;3,386;6,530
X20_m_2018;0;0;4;6;0;1;24;1;2;8;1;3;18;NA;1;1;24;0,367;Hermannsdorf-Ainbrach;4552285;5416920;2016;7,38;2,080;3,58;0,228;9,1;24,5;37,8;42,5;19,7;3;A;7;16;2018;57;57;NA;5,539;4,708;5,396
X20_m_2019;0;0;6;5;0;2;32;2;3;6;0;3;21;NA;0;1;32;0,301;Hermannsdorf-Ainbrach;4552285;5416920;2016;7,38;2,080;3,58;0,228;9,1;24,5;37,8;42,5;19,7;3;A;7;16;2019;58;58;NA;1,230;2,504;6,837
