name,X682828,X682962,X682963,X682986,X699873,X699880,X701688,X702012,X702034,X702098,X702297,X702304,X702334,X702403,X702530,X702594,X702615,X702619,X702735,X703673,X706901,X706914,X711028
Lotus_corniculatus,0,6,5,0,0,3,2,0,0,3,0,0,3,0,0,0,0,2,2,0,2,0,2
Luzula_campestris,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysimachia_nummularia,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicago_falcata,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Medicago_lupulina,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,13,0,0
Medicago_sativa,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Mentha_arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Myosotis_nemorosa,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neotinea_ustulata,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onobrychis_viciifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Origanum_vulgare,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Orobanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Orobanche_lutea,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastinaca_sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Persicaria_amphibia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Persicaria_bistorta,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrorhagia_prolifera,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
