name;IN1;IN2;IN3;IN4;IN5;IN6;AC1;AC2;AC3;AC4;AC5;AC6
Pulmonaria_officinalis;0,00;0,50;2,00;0,00;2,00;0,50;0,00;2,00;2,00;0,00;0,50;0,00
Quercus_robur;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,50;0,50;0,00;0,00
Ranunculus_repens;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
Rubus_caesius;8,75;8,75;8,75;4,00;4,00;37,50;18,75;18,75;37,50;37,50;62,50;18,75
Salix_alba;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Salix_eleagnos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
Solidago_gigantea;0,00;0,00;0,00;0,00;0,00;0,00;0,50;2,00;0,00;2,00;8,75;2,00
Stachys_sylvatica;0,50;0,00;0,50;0,50;2,00;2,00;0,50;2,00;0,50;4,00;2,00;0,50
Symphytum_officinale;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,50
Thalictrum_aquilegiifolium;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,50
Ulmus_glabra;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
Valeriana_dioica;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50
Valeriana_excelsa_subsp_excelsa;0,00;0,50;0,50;0,50;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00
Viburnum_lantana;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,50
Vicia_cracca_sstr;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Vinca_minor;0,00;0,00;0,00;0,00;0,50;0,00;8,75;0,50;0,00;2,00;0,00;0,00
Viola_odorata;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50
Carex SU3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
