plot,block,comparison,pool,presabu,exposition,orientation,pc1_soil,pc2_soil,pc3_soil,location,location_abb,location_construction_year,river_km,river_distance,construction_year,b,c,d
05,3,1819,target,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.0667,0.2667,0.3333
05,3,1921,target,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.2857,-0,0.2857
05,3,1719,target,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.5357,0.1786,0.7143
05,3,1721,target,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.6667,0.0833,0.75
05,3,1718,target,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.7082,0.0809,0.7891
05,3,1819,target,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.0459,0.2817,0.3275
05,3,1921,target,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.8377,-0,0.8377
05,3,1719,target,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.6351,0.1757,0.8109
05,3,1721,target,abundance,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.9493,0.0127,0.962
05,3,1718,all,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.5556,0.1778,0.7333
05,3,1819,all,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.2143,0.2143,0.4286
05,3,1921,all,presence,south,water,-0.5576,0.9911,-0.443,Oebling,OEB,OEB-2012,2316,229.07,2012,0.3043,0.087,0.3913
